147615834647777	collision	Car13(Clone)-(-123972)
147615834709581	collision	Car13(Clone)-(-123972)
147615835257512	block_start	cop
147615835705138	block_end	cop
147615835947551	collision	Car16(Clone)-(-122080)
147615835991154	collision	Car16(Clone)-(-122080)
147615836071458	collision	Car16(Clone)-(-123112)
147615836252669	collision	Car16(Clone)-(-122080)
147615843373976	ice_start	
147615843958410	ice_end	
147615848263556	newlap	lap_5	eventset_5
147615848905293	fall_start	lamp
147615849289215	collision	lamppost
147615849330917	fall_end	lamp
147615850509684	collision	Block - 1 large, 3 small
147615850527985	fog_start	
147615851142721	collision	Car2(Clone)-(-123800)
147615853097732	ice_start	
147615853674565	ice_end	
147615854033386	block_start	cop
147615854257699	collision	CopCar
147615855425565	block_end	cop
147615855821988	collision	Car16(Clone)-(-121564)
147615855973997	collision	Car6(Clone)-(-121736)
147615877025101	fog_end	
147615885552789	animal_start	kangaroo
147615885552889	animal_start	kangaroo
147615886159223	animal_end	kangaroo
147615886159323	animal_end	kangaroo
147615887704512	newlap	lap_6	eventset_1
