147615715151742	(0.0, 0.0, 0.0)
147615715156743	(0.0, 0.0, 0.0)
147615715158143	(0.0, 0.0, 0.0)
147615715159943	(0.0, 0.0, 0.0)
147615715161643	(0.0, 0.0, 0.0)
147615715163443	(0.0, 0.0, 0.0)
147615715166243	(0.0, 0.0, 0.0)
147615715167343	(0.0, 0.0, 0.0)
147615715169243	(0.0, 0.0, 0.0)
147615715170943	(0.0, 0.0, 0.0)
147615715172543	(0.0, 0.0, 0.0)
147615715174544	(0.0, 0.0, 0.0)
147615715175944	(0.0, 0.0, 0.0)
147615715177744	(0.0, 0.0, 0.0)
147615715179344	(0.0, 0.0, 0.0)
147615715181044	(0.0, 0.0, 0.0)
147615715182744	(0.0, 0.0, 0.0)
147615715184444	(0.0, 0.0, 0.0)
147615715185944	(0.0, 0.0, 0.0)
147615715187744	(0.0, 0.0, 0.0)
147615715189244	(0.0, 0.0, 0.0)
147615715191045	(0.0, 0.0, 0.0)
147615715192645	(0.0, 0.0, 0.0)
147615715194245	(0.0, 0.0, 0.0)
147615715195945	(0.0, 0.0, 0.0)
147615715197745	(0.0, 0.0, 0.0)
147615715199345	(0.0, 0.0, 0.0)
147615715200945	(0.0, 0.0, 0.0)
147615715202545	(0.0, 0.0, 0.0)
147615715204145	(0.0, 0.0, 0.0)
147615715205845	(0.0, 0.0, 0.0)
147615715207545	(0.0, 0.0, 0.0)
147615715209146	(0.0, 0.0, 0.0)
147615715211046	(0.0, 0.0, 0.0)
147615715212546	(0.0, 0.0, 0.0)
147615715214146	(0.0, 0.0, 0.0)
147615715215846	(0.0, 0.0, 0.0)
147615715217646	(0.0, 0.0, 0.0)
147615715220246	(0.0, 0.0, 0.0)
147615715221546	(0.0, 0.0, 0.0)
147615715223246	(0.0, 0.0, 0.0)
147615715225047	(0.0, 0.0, 0.0)
147615715226647	(0.0, 0.0, 0.0)
147615715228447	(0.0, 0.0, 0.0)
147615715229947	(0.0, 0.0, 0.0)
147615715231747	(0.0, 0.0, 0.0)
147615715233347	(0.0, 0.0, 0.0)
147615715235047	(0.0, 0.0, 0.0)
147615715236647	(0.0, 0.0, 0.0)
147615715238647	(0.0, 0.0, 0.0)
147615715240247	(0.0, 0.0, 0.0)
147615715242147	(0.0, 0.0, 0.0)
147615715243948	(0.0, 0.0, 0.0)
147615715245548	(0.0, 0.0, 0.0)
147615715247348	(0.0, 0.0, 0.0)
147615715249048	(0.0, 0.0, 0.0)
147615715250648	(0.0, 0.0, 0.0)
147615715252448	(0.0, 0.0, 0.0)
147615715254048	(0.0, 0.0, 0.0)
147615715255748	(0.0, 0.0, 0.0)
147615715257348	(0.0, 0.0, 0.0)
147615715259048	(0.0, 0.0, 0.0)
147615715260949	(0.0, 0.0, 0.0)
147615715262649	(0.0, 0.0, 0.0)
147615715264549	(0.0, 0.0, 0.0)
147615715266349	(0.0, 0.0, 0.0)
147615715267849	(0.0, 0.0, 0.0)
147615715269549	(0.0, 0.0, 0.0)
147615715271549	(0.0, 0.0, 0.0)
147615715273149	(0.0, 0.0, 0.0)
147615715275949	(0.0, 0.0, 0.0)
147615715277149	(0.0, 0.0, 0.0)
147615715278750	(0.0, 0.0, 0.0)
147615715280350	(0.0, 0.0, 0.0)
147615715281950	(0.0, 0.0, 0.0)
147615715283750	(0.0, 0.0, 0.0)
147615715285550	(0.0, 0.0, 0.0)
147615715287150	(0.0, 0.0, 0.0)
147615715288850	(0.0, 0.0, 0.0)
147615715290650	(0.0, 0.0, 0.0)
147615715292050	(0.0, 0.0, 0.0)
147615715294250	(0.0, 0.0, 0.0)
147615715295951	(0.0, 0.0, 0.0)
147615715297951	(0.0, 0.0, 0.0)
147615715299551	(0.0, 0.0, 0.0)
147615715301351	(0.0, 0.0, 0.0)
147615715302851	(0.0, 0.0, 0.0)
147615715304751	(0.0, 0.0, 0.0)
147615715306151	(0.0, 0.0, 0.0)
147615715308051	(0.0, 0.0, 0.0)
147615715309751	(0.0, 0.0, 0.0)
147615715311551	(0.0, 0.0, 0.0)
147615715313152	(0.0, 0.0, 0.0)
147615715314852	(0.0, 0.0, 0.0)
147615715316452	(0.0, 0.0, 0.0)
147615715318052	(0.0, 0.0, 0.0)
147615715319952	(0.0, 0.0, 0.0)
147615715321652	(0.0, 0.0, 0.0)
147615715323152	(0.0, 0.0, 0.0)
147615715324852	(0.0, 0.0, 0.0)
